Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD1,Harish,Oil & Masala,Masalas,Vellore,11/8/2017,North,1254,0.12,401.28,Tamil Nadu
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,11/8/2017,South,749,0.18,149.8,Tamil Nadu
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,6/12/2017,West,2360,0.21,165.2,Tamil Nadu
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,10/11/2016,South,896,0.25,89.6,Tamil Nadu
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,10/11/2016,South,2355,0.26,918.45,Tamil Nadu
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,6/9/2015,West,2305,0.26,322.7,Tamil Nadu
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,6/9/2015,West,826,0.33,346.92,Tamil Nadu
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,6/9/2015,West,1847,0.32,147.76,Tamil Nadu
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,6/9/2015,West,791,0.23,181.93,Tamil Nadu
OD10,Krithika,Bakery,Cakes,Chennai,6/9/2015,West,1795,0.27,484.65,Tamil Nadu
OD11,Ganesh,Snacks,Chocolates,Karur,6/9/2015,West,1903,0.13,437.69,Tamil Nadu
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,6/9/2015,West,701,0.1,308.44,Tamil Nadu
OD13,Sharon,Snacks,Cookies,Dindigul,4/15/2018,South,1659,0.19,315.21,Tamil Nadu
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,12/5/2017,West,1277,0.25,63.85,Tamil Nadu
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Kanyakumari,11/22/2016,Central,831,0.22,207.75,Tamil Nadu
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Krishnagiri,11/22/2016,Central,1440,0.11,100.8,Tamil Nadu
OD17,Alan,Bakery,Cakes,Dharmapuri,11/11/2015,Central,1678,0.28,318.82,Tamil Nadu
OD18,Arutra,Beverages,Health Drinks,Bodi,5/13/2015,West,1617,0.19,113.19,Tamil Nadu
OD19,Haseena,"Eggs, Meat & Fish",Mutton,Tenkasi,8/27/2015,West,1757,0.35,386.54,Tamil Nadu
OD20,Verma,Beverages,Soft Drinks,Kanyakumari,8/27/2015,West,692,0.29,159.16,Tamil Nadu
OD21,Hafiz,Beverages,Health Drinks,Vellore,8/27/2015,West,522,0.19,208.8,Tamil Nadu
OD22,Alan,Food Grains,Dals & Pulses,Karur,12/9/2017,Central,948,0.13,47.4,Tamil Nadu
OD23,Haseena,Beverages,Soft Drinks,Krishnagiri,12/9/2017,Central,707,0.34,148.47,Tamil Nadu
OD24,Alan,Fruits & Veggies,Organic Vegetables,Tenkasi,7/16/2018,East,969,0.29,77.52,Tamil Nadu
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Ooty,9/25/2016,West,1100,0.11,495,Tamil Nadu
