"First Name","Last Name","Experience (Years)","Salary","Number of Children"
"Dexter","Richardson","0","175049","0"
"Sarah","Evans","23","154866","1"
"Lily","Adams","14","46610","1"
"Rubie","Cooper","8","62413","1"
"Briony","Hunt","18","50310","1"
"Annabella","Mason","30","145663","4"
"Victoria","Anderson","13","150983","5"
"Alfred","Owens","1","70065","4"
"Valeria","Roberts","2","125645","2"
"Lilianna","Wells","22","107716","0"
"Brooke","Hill","13","42165","3"
"James","Brown","26","38991","1"
"Rebecca","Miller","21","30381","4"
"Alexander","Turner","18","91558","2"
"Freddie","Miller","5","174224","2"
"Eric","Thomas","26","37664","5"
"Julia","Chapman","4","169788","0"
"Freddie","Perkins","30","124202","0"
"Caroline","Brooks","18","77945","2"
"Connie","West","22","159547","4"
"Abigail","Ellis","29","163793","5"
"Dexter","Rogers","19","90883","0"
"Madaline","Stewart","8","80323","4"
"Aida","Wilson","18","130905","3"
"Frederick","Crawford","26","109072","1"
"Kelsey","Elliott","2","165558","5"
"George","Cunningham","6","94587","4"
"Alisa","Bailey","13","116796","3"
"Stella","Turner","23","150408","3"
"Isabella","Stevens","13","83938","1"
"Sawyer","Smith","18","80371","0"
"Oscar","Crawford","22","91373","0"
"Violet","Ross","13","109898","5"
"Preston","Murphy","19","194873","2"
"Steven","West","2","188531","0"
"Harold","Hill","5","122541","1"
"Richard","Montgomery","21","72621","0"
"Olivia","Foster","13","54432","5"
"Alisa","Ross","10","55216","2"
"Aston","Brooks","16","124636","1"
"Victoria","Cooper","5","189426","3"
"Michael","Stewart","23","142048","1"
"Brooke","Owens","5","38513","0"
"Emma","West","15","104962","3"
"Lyndon","Harper","1","161249","0"
"Bruce","Higgins","14","55536","0"
"Chester","Johnson","14","53649","4"
"Catherine","Mason","9","57797","2"
"Arianna","Phillips","2","55999","5"
"Adam","Stevens","1","166829","4"
"Jordan","Barnes","20","88920","3"
"Violet","Armstrong","21","124134","5"
"Vincent","Miller","10","43539","4"
"Agata","Spencer","14","168319","3"
"Rubie","Armstrong","18","146313","2"
"Rebecca","Edwards","16","132266","1"
"Jenna","Brooks","7","94333","4"
"Honey","Perry","9","116565","4"
"Tiana","Murray","21","188924","3"
"Abraham","Jones","12","38233","0"
"Violet","Riley","17","44246","2"
"Marcus","Morris","11","129917","3"
"Evelyn","Perry","6","139784","4"
"Adelaide","Mason","13","88776","2"
"Byron","Wilson","11","125980","3"
"Alissa","Morgan","5","41230","0"
"Sydney","Dixon","5","109269","3"
"Lucy","Sullivan","7","57922","0"
"Cadie","Cole","20","92008","4"
"Caroline","Brown","23","79145","2"
"George","Foster","18","153134","2"
"Amber","Armstrong","0","60138","4"
"Blake","Cole","28","92280","1"
"Alfred","Holmes","15","96504","5"
"Chelsea","Alexander","28","178324","2"
"Fiona","Alexander","26","83781","2"
"Adrian","Richardson","21","30897","2"
"Justin","Higgins","2","103832","1"
"Ned","Hall","8","56840","3"
"Owen","Sullivan","2","30649","4"
"Evelyn","Baker","20","175655","0"
"Owen","Russell","14","154989","4"
"Albert","Perry","12","68556","5"
"Darcy","Martin","4","135237","3"
"Vanessa","Perry","30","153652","4"
"Michael","Craig","14","47719","3"
"Dexter","Hamilton","12","151650","4"
"Adele","Tucker","21","118700","0"
"Wilson","Hill","10","160705","2"
"Jordan","Barrett","5","90501","1"
"Amanda","Carter","2","84502","1"
"Rubie","Moore","7","84063","3"
"Abraham","Richardson","21","33610","5"
"Maria","Thompson","27","31057","4"
"Amelia","Armstrong","28","112474","5"
"Elise","Walker","9","34517","4"
"Kirsten","Mitchell","3","149608","5"
"Abigail","Baker","5","184650","0"
"Leonardo","Craig","15","168390","3"
"Caroline","Cameron","1","175093","3"
"Emily","Thompson","29","62898","4"
"Adrian","Perkins","8","78874","4"
"Adrian","Hawkins","16","66357","0"
"Jacob","Murray","1","179053","3"
"Cherry","Gray","22","157669","1"
"Audrey","Phillips","20","89328","4"
"Mary","Davis","30","181752","5"
"Michelle","Carroll","28","122145","1"
"Alford","Armstrong","25","134206","2"
"George","Payne","27","64411","0"
"Jacob","Riley","0","114774","4"
"Jacob","Kelley","27","92961","2"
"Dainton","Scott","17","69776","2"
"Eleanor","Gibson","14","56517","3"
"James","Phillips","6","69220","5"
"Jasmine","Johnson","3","50023","1"
"Blake","Carter","1","127909","2"
"April","Robinson","7","31305","1"
"Abigail","Ryan","2","132118","5"
"Alen","Murray","26","100757","2"
"Paige","Bennett","30","94668","2"
"Spike","Higgins","17","138808","2"
"Richard","Walker","25","149406","3"
